Weir Height/mm,Data Point,Measured Water Height/mm,Flowmeter/G,Flow/m3,Arduino Flow/m3,Discharge Co-efficient,Weir Flow/m3,Dev Weir/m3,Dev Pump/m3,Pump Weir/m3
220.000000000,9.000000000,238.000000000,32.200000000,0.005558246,0.001375300,0.617545455,0.001058399,-0.000316901,0.004182946,0.004499847
220.000000000,8*9,232.000000000,18.200000000,0.001148242,0.000534500,0.615363636,0.000574084,0.000039584,0.000613742,0.000574157
220.000000000,8.000000000,226.000000000,9.100000000,0.000574121,0.000534500,0.613181818,0.000202250,-0.000332250,0.000039621,0.000371871
210.000000000,7.000000000,216.000000000,9.300000000,0.000586739,0.000534500,0.613285714,0.000202284,-0.000332216,0.000052239,0.000384455
210.000000000,8.000000000,226.000000000,26.700000000,0.001684508,0.001375300,0.617095238,0.000886347,-0.000488953,0.000309208,0.000798161
210.000000000,7*8,221.000000000,16.600000000,0.001047297,0.000534500,0.615190476,0.000503698,-0.000030802,0.000512797,0.000543599
200.000000000,6*7,211.000000000,16.700000000,0.001053606,0.000534500,0.615400000,0.000503870,-0.000030630,0.000519106,0.000549736
200.000000000,7.000000000,217.000000000,32.100000000,0.002025195,0.001375300,0.617800000,0.000971836,-0.000403464,0.000649895,0.001053359
200.000000000,6.000000000,205.000000000,8.300000000,0.000523649,0.000534500,0.613000000,0.000153811,-0.000380689,-0.000010851,0.000369838
185.000000000,5.000000000,196.500000000,19.500000000,0.001230259,0.000934502,0.615972973,0.000539114,-0.000395388,0.000295757,0.000691145
150.000000000,4.000000000,176.000000000,49.700000000,0.003135583,0.002333504,0.624866667,0.001859170,-0.000474334,0.000802079,0.001276412
100.000000000,3.000000000,120.000000000,39.000000000,0.002460518,0.001606857,0.627000000,0.001258590,-0.000348267,0.000853661,0.001201927
50.000000000,2.000000000,63.000000000,22.400000000,0.001413220,0.000934501,0.631800000,0.000664609,-0.000269892,0.000478719,0.000748611
0.000000000,1.000000000,9.000000000,14.400000000,0.000908499,0.000534516,,,-0.000534516,0.000373983,0.000908499
220.000000000,9.000000000,238.000000000,32.200000000,0.000706610,0.001375300,0.617545455,0.001058399,-0.000316901,-0.000668690,-0.000351789
